rank,song_title,artist,year
1,Old Town Road,"Lil Nas X, Billy Ray Cyrus",2019
2,Sunflower,"Post Malone, Swae Lee",2019
3,Without Me,Halsey,2019
4,Bad Guy,Billie Eilish,2019
5,Wow,Post Malone,2019
6,Happier,"Marshmello, Bastille",2019
7,7 Rings,Ariana Grande,2019
8,Talk,Khalid,2019
9,Sicko Mode,Travis Scott,2019
10,Sucker,Jonas Brothers,2019
11,High Hopes,Panic! at the Disco,2019
12,"Thank U, Next",Ariana Grande,2019
13,Truth Hurts,Lizzo,2019
14,Dancing with a Stranger,"Sam Smith, Normani",2019
15,Señorita,"Shawn Mendes, Camila Cabello",2019
16,I Don't Care,"Ed Sheeran, Justin Bieber",2019
17,Eastside,"Benny Blanco, Halsey, Khalid",2019
18,Going Bad,"Meek Mill, Drake",2019
19,Shallow,"Lady Gaga, Bradley Cooper",2019
20,Better,Khalid,2019
21,No Guidance,"Chris Brown, Drake",2019
22,Girls Like You,"Maroon 5, Cardi B",2019
23,Sweet but Psycho,Ava Max,2019
24,Suge,DaBaby,2019
25,Middle Child,J. Cole,2019
26,Drip Too Hard,"Lil Baby, Gunna",2019
27,Someone You Loved,Lewis Capaldi,2019
28,Ransom,Lil Tecca,2019
29,If I Can't Have You,Shawn Mendes,2019
30,Goodbyes,"Post Malone, Young Thug",2019
31,Zeze,"Kodak Black, Travis Scott, Offset",2019
32,Better Now,Post Malone,2019
33,Youngblood,5 Seconds of Summer,2019
34,Money in the Grave,"Drake, Rick Ross",2019
35,Speechless,Dan + Shay,2019
36,"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,2019
37,Please Me,"Cardi B, Bruno Mars",2019
38,Money,Cardi B,2019
39,You Need to Calm Down,Taylor Swift,2019
40,Panini,Lil Nas X,2019
41,Look Back at It,A Boogie wit da Hoodie,2019
42,A Lot,21 Savage,2019
43,Me!,"Taylor Swift, Brendon Urie",2019
44,Mia,"Bad Bunny, Drake",2019
45,Pop Out,"Polo G, Lil Tjay",2019
46,Beautiful Crazy,Luke Combs,2019
47,Thotiana,Blueface,2019
48,Lucid Dreams,Juice Wrld,2019
49,Mo Bamba,Sheck Wes,2019
50,Beautiful People,"Ed Sheeran, Khalid",2019
51,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",2019
52,Whiskey Glasses,Morgan Wallen,2019
53,God's Country,Blake Shelton,2019
54,Be Alright,Dean Lewis,2019
55,Pure Water,"Mustard, Migos",2019
56,The Git Up,Blanco Brown,2019
57,Taki Taki,"DJ Snake, Selena Gomez, Ozuna, Cardi B",2019
58,Close to Me,"Ellie Goulding, Diplo, Swae Lee",2019
59,Envy Me,Calboy,2019
60,You Say,Lauren Daigle,2019
61,"Hey Look Ma, I Made It",Panic! at the Disco,2019
62,Circles,Post Malone,2019
63,Beer Never Broke My Heart,Luke Combs,2019
64,The London,"Young Thug, J. Cole, Travis Scott",2019
65,Con Calma,"Daddy Yankee, Katy Perry, Snow",2019
66,Murder on My Mind,YNW Melly,2019
67,When the Party's Over,Billie Eilish,2019
68,Act Up,City Girls,2019
69,I Like It,"Cardi B, Bad Bunny, J Balvin",2019
70,Trampoline,Shaed,2019
71,Leave Me Alone,Flipp Dinero,2019
72,Breathin,Ariana Grande,2019
73,Bury a Friend,Billie Eilish,2019
74,Close Friends,Lil Baby,2019
75,Baby Shark,Pinkfong,2019
76,My Type,Saweetie,2019
77,Worth It,YK Osiris,2019
78,Only Human,Jonas Brothers,2019
79,Knockin' Boots,Luke Bryan,2019
80,Trip,Ella Mai,2019
81,Rumor,Lee Brice,2019
82,Swervin,"A Boogie wit da Hoodie, 6ix9ine",2019
83,How Do You Sleep?,Sam Smith,2019
84,Baby,"Lil Baby, DaBaby",2019
85,Look What God Gave Her,Thomas Rhett,2019
86,Good as You,Kane Brown,2019
87,Clout,"Offset, Cardi B",2019
88,Love Lies,"Khalid, Normani",2019
89,One Thing Right,"Marshmello, Kane Brown",2019
90,Cash Shit,"Megan Thee Stallion, DaBaby",2019
91,Tequila,Dan + Shay,2019
92,Shotta Flow,NLE Choppa,2019
93,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj, Ty Dolla Sign",2019
94,Talk You Out of It,Florida Georgia Line,2019
95,Beautiful,"Bazzi, Camila Cabello",2019
96,Eyes on You,Chase Rice,2019
97,All to Myself,Dan + Shay,2019
98,Boyfriend,"Ariana Grande, Social House",2019
99,Walk Me Home,Pink,2019
100,Robbery,Juice Wrld,2019
