rank,song_title,artist,year
1,Can't Fight the Moonlight,LeAnn Rimes,2001
2,It Wasn't Me,Shaggy feat. Rik Rok,2001
3,Can't Get You Out of My Head,Kylie Minogue,2001
4,Angel,Shaggy feat. Rayvon,2001
5,Hanging By a Moment,Lifehouse,2001
6,Stan,Eminem,2001
7,I'm Like a Bird,Nelly Furtado,2001
8,Smooth Criminal,Alien Ant Farm,2001
9,Can We Fix It?,Bob the Builder,2001
10,Whole Again,Atomic Kitten,2001
11,Case of the Ex,Mya,2001
12,Butterfly,Crazy Town,2001
13,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya \& Pink",2001
14,Because I Got High,Afroman,2001
15,"Me, Myself \& I",Scandal'us,2001
16,Don't Stop Movin',S Club 7,2001
17,Ms. Jackson,Outkast,2001
18,How You Remind Me,Nickelback,2001
19,Let's Get Married,Jagged Edge,2001
20,With Arms Wide Open,Creed,2001
21,Strawberry Kisses,Nikki Webster,2001
22,All Rise,Blue,2001
23,Drops of Jupiter (Tell Me),Train,2001
24,Let Me Blow Ya Mind,Eve feat. Gwen Stefani,2001
25,Operation Blade (Bass in the Place London...),Public Domain,2001
26,Mambo No.5,Bob the Builder,2001
27,Cruisin,Gwyneth Paltrow and Huey Lewis,2001
28,Teenage Dirtbag,Wheatus,2001
29,What Would You Do?,City High,2001
30,Walking Away,Craig David,2001
31,Dance With Me,Debelah Morgan,2001
32,Free,Mya,2001
33,Yellow,Coldplay,2001
34,It's Raining Men,Geri Halliwell,2001
35,Bette Davis Eyes,Gwyneth Paltrow,2001
36,I'm a Believer,Smash Mouth,2001
37,Out of Reach,Gabrielle,2001
38,Turn Off the Light,Nelly Furtado,2001
39,Bow Wow (That's My Name),Lil' Bow Wow,2001
40,Ride Wit Me,Nelly feat. City Spud,2001
41,Kryptonite,3 Doors Down,2001
42,One Step Closer,Linkin Park,2001
43,Miss California,Dante Thomas feat. Pras,2001
44,Uptown Girl,Westlife,2001
45,Rollin',Limp Bizkit,2001
46,You All Dat,Baha Men,2001
47,U Remind Me,Usher,2001
48,Purple Pills,D12,2001
49,Follow Me,Uncle Kracker,2001
50,Bootylicious,Destiny's Child,2001
51,"Luv Me, Luv Me",Shaggy,2001
52,Fallin',Alicia Keys,2001
53,I'm Real,Jennifer Lopez,2001
54,Hit 'em Up Style (Oops!),Blu Cantrell,2001
55,Survivor,Destiny's Child,2001
56,All for You,Janet Jackson,2001
57,Independent Women Part I,Destiny's Child,2001
58,7 Days,Craig David,2001
59,I Need Somebody,Bardot,2001
60,One More Time,Daft Punk,2001
61,Love Don't Cost a Thing,Jennifer Lopez,2001
62,E.I.,Nelly,2001
63,What Took You So Long?,Emma Bunton,2001
64,It's Over,Kurupt,2001
65,Too Close,Blue,2001
66,Around the World (La La La La La),ATC,2001
67,Starlight,The Supermen Lovers feat. Mani Hoffman,2001
68,Original Prankster,The Offspring,2001
69,The Itch,Vitamin C,2001
70,Dancing in the Moonlight,Toploader,2001
71,Amazing,Alex Lloyd,2001
72,Hero,Enrique Iglesias,2001
73,Play,Jennifer Lopez,2001
74,Clint Eastwood,Gorillaz,2001
75,In My Pocket,Mandy Moore,2001
76,Another Day in Paradise,Brandy and Ray J,2001
77,Country Grammar (Hot...),Nelly,2001
78,Don't Tell Me,Madonna,2001
79,Just the Thing,Paulmac feat. Peta Morris,2001
80,Wassuup!,Da Muttz,2001
81,Thank God I'm a Country Boy,Hampton the Hampster,2001
82,Let's Dance,Five,2001
83,The Hampsterdance Song,Hampton the Hampster,2001
84,What it Feels Like for a Girl,Madonna,2001
85,Supreme,Robbie Williams,2001
86,Sky,Sonique,2001
87,The Power,Vanessa Amorosi,2001
88,Again,Lenny Kravitz,2001
89,Everytime You Need Me,Fragma feat. Maria Rubia,2001
90,No More (Baby I'ma Do Right),3LW,2001
91,Stuck in a Moment You Can't Get Out Of,U2,2001
92,Drive,Incubus,2001
93,Don't Mess With the Radio,Nivea,2001
94,Better Man,Robbie Williams,2001
95,Where the Party At,Jagged Edge,2001
96,Bad Boy for Life,"P. Diddy, Black Rob \& Mark Curry",2001
97,Don't Think I'm Not,Kandi,2001
98,Family Affair,Mary J. Blige,2001
99,I'm a Slave 4 U,Britney Spears,2001
100,Lovin' Each Day,Ronan Keating,2001
