rank,song_title,artist,year
1,I'm Outta Love,Anastacia,2000
2,Teenage Dirtbag,Wheatus,2000
3,Freestyler,Bomfunk MC's,2000
4,Music,Madonna,2000
5,Say My Name,Destiny's Child,2000
6,Poison,Bardot,2000
7,Bye Bye Bye,NSYNC,2000
8,Who the Hell Are You,Madison Avenue,2000
9,Groovejet (If This Ain't Love),Spiller,2000
10,Shackles (Praise You),Mary Mary,2000
11,Candy,Mandy Moore,2000
12,Bloke,Chris Franklin,2000
13,Graduation (Friends Forever),Vitamin C,2000
14,Never Be the Same Again,"Melanie C feat. Lisa ""Left Eye"" Lopes",2000
15,Most Girls,Pink,2000
16,Shine,Vanessa Amorosi,2000
17,"Jumpin', Jumpin'",Destiny's Child,2000
18,I Try,Macy Gray,2000
19,She Bangs,Ricky Martin,2000
20,Don't You Worry,Madasun,2000
21,Rock DJ,Robbie Williams,2000
22,Who Let the Dogs Out,Baha Men,2000
23,Thong Song,Sisqo,2000
24,It's My Life,Bon Jovi,2000
25,Let's Get Loud,Jennifer Lopez,2000
26,Mascara,Killing Heidi,2000
27,On a Night Like This,Kylie Minogue,2000
28,Spinning Around,Kylie Minogue,2000
29,Lucky,Britney Spears,2000
30,Shape of My Heart,Backstreet Boys,2000
31,Come on Over Baby (All I Want is You),Christina Aguilera,2000
32,Gotta Tell You,Samantha Mumba,2000
33,Move Your Body,Eiffel 65,2000
34,We Will Rock You,Five \& Queen,2000
35,Oops!...I Did it Again,Britney Spears,2000
36,Shalala Lala,Vengaboys,2000
37,Holiday,Naughty By Nature,2000
38,S Club Party,S Club 7,2000
39,I Wanna Love You Forever,Jessica Simpson,2000
40,Absolutely Everybody,Vanessa Amorosi,2000
41,There You Go,Pink,2000
42,Day \& Night,Billie Piper,2000
43,Pure Shores,All Saints,2000
44,Steal My Sunshine,Len,2000
45,Toca's Miracle,Fragma,2000
46,Breathless,The Corrs,2000
47,B-Boys \& Flygirls,Bomfunk MC's,2000
48,I Turn to You,Melanie C,2000
49,Amazed,Lonestar,2000
50,Life is a Rollercoaster,Ronan Keating,2000
51,Try Again,Aaliyah,2000
52,All the Small Things,Blink-182,2000
53,He Don't Love You,Human Nature,2000
54,Beautiful Day,U2,2000
55,It's Gonna Be Me,NSYNC,2000
56,Bring it All Back,S Club 7,2000
57,The Real Slim Shady,Eminem,2000
58,Independent Women Part I,Destiny's Child,2000
59,Blue (Da Ba Dee),Eiffel 65,2000
60,Lady (Hear Me Tonight),Modjo,2000
61,Holler,Spice Girls,2000
62,What's a Girl to Do?,Sister2Sister,2000
63,Could I Have This Kiss Forever,Whitney Houston \& Enrique Iglesias,2000
64,I Think I'm in Love With You,Jessica Simpson,2000
65,Live Without It,Killing Heidi,2000
66,American Pie,Madonna,2000
67,Take a Look Around,Limp Bizkit,2000
68,Fill Me In,Craig David,2000
69,Adelante,Sash!,2000
70,I Wanna Be With You,Mandy Moore,2000
71,The Brick Track vs. Gitty Up,Salt 'N' Pepa,2000
72,He Wasn't Man Enough,Toni Braxton,2000
73,My Happiness,Powderfinger,2000
74,What a Girl Wants,Christina Aguilera,2000
75,Don't Give Up,Chicane feat. Bryan Adams,2000
76,Say it Isn't So,Bon Jovi,2000
77,Rip it Up,28 Days,2000
78,Pray,Tina Cousins,2000
79,We Think it's Love,Leah Haywood,2000
80,Ex-Girlfriend,No Doubt,2000
81,Why Does it Always Rain on Me?,Travis,2000
82,Everything You Need,Madison Avenue,2000
83,Don't Call Me Baby,Madison Avenue,2000
84,It Feels So Good,Sonique,2000
85,Stronger,Britney Spears,2000
86,Mambo Italiano,Shaft,2000
87,The Bad Touch,Bloodhound Gang,2000
88,Better Off Alone,Alice Deejay,2000
89,Bent,Matchbox Twenty,2000
90,Last One Standing,Girl Thing,2000
91,Do You Want My Love,CoCo Lee,2000
92,Don't Say You Love Me,M2M,2000
93,Original Prankster,The Offspring,2000
94,Show Me the Meaning of Being Lonely,Backstreet Boys,2000
95,Affirmation,Savage Garden,2000
96,I Should've Never Let You Go,Bardot,2000
97,I See You Baby,Groove Armada feat. Gram'ma Funk,2000
98,Don't Wanna Let You Go,Five,2000
99,Cartoon Heroes,Aqua,2000
100,These Days,Bardot,2000
